"game_code","period","frame","event","player_id","dplayer_id"
"2016-02-01-MIL-SAC",1,0,"SPD",NA,NA
"2016-02-01-MIL-SAC",1,470,"2PX","201585","203507"
"2016-02-01-MIL-SAC",1,518,"DRB","203507",NA
"2016-02-01-MIL-SAC",1,777,"2PX","202328","201585"
"2016-02-01-MIL-SAC",1,838,"ORB","202328",NA
"2016-02-01-MIL-SAC",1,947,"2PX","203487","201585"
"2016-02-01-MIL-SAC",1,948,"BLK","203487","201585"
"2016-02-01-MIL-SAC",1,1158,"TO","201585","203487"
"2016-02-01-MIL-SAC",1,1275,"SF","203487","201158"
"2016-02-01-MIL-SAC",1,1276,"FOUL","203487","201158"
"2016-02-01-MIL-SAC",1,1956,"FOUL",NA,"203507"
"2016-02-01-MIL-SAC",1,2370,"3PX","201158","203114"
"2016-02-01-MIL-SAC",1,2427,"ORB","1626161",NA
"2016-02-01-MIL-SAC",1,2442,"2PM","1626161","203507"
"2016-02-01-MIL-SAC",1,3002,"2PM","202328","1626161"
"2016-02-01-MIL-SAC",1,3379,"2PM","200752","203953"
"2016-02-01-MIL-SAC",1,3711,"2PM","202328","201585"
"2016-02-01-MIL-SAC",1,3731,"FOUL","202328","200752"
"2016-02-01-MIL-SAC",1,4066,"FOUL","200765","203487"
"2016-02-01-MIL-SAC",1,4521,"2PM","201158","203114"
"2016-02-01-MIL-SAC",1,5206,"2PX","203507","1626161"
"2016-02-01-MIL-SAC",1,5223,"DRB","200752",NA
"2016-02-01-MIL-SAC",1,5546,"2PX","200752","203953"
"2016-02-01-MIL-SAC",1,5589,"ORB","201585",NA
"2016-02-01-MIL-SAC",1,5608,"2PM","201585","203507"
"2016-02-01-MIL-SAC",1,6130,"2PX","203953","1626161"
"2016-02-01-MIL-SAC",1,6172,"DRB","201585",NA
"2016-02-01-MIL-SAC",1,6772,"2PX","201585","203507"
"2016-02-01-MIL-SAC",1,6815,"ORB","1626161",NA
"2016-02-01-MIL-SAC",1,6826,"2PX","1626161","202328"
"2016-02-01-MIL-SAC",1,6827,"BLK","1626161","202328"
"2016-02-01-MIL-SAC",1,7152,"TO","200765","203953"
"2016-02-01-MIL-SAC",1,7319,"2PM","203487","201158"
