"game_code","period","frame","event","player_id","dplayer_id"
"2016-02-01-ORL-SAS",1,0,"SPD",NA,NA
"2016-02-01-ORL-SAS",1,485,"3PM","202695","203932"
"2016-02-01-ORL-SAS",1,915,"2PX","202699","201980"
"2016-02-01-ORL-SAS",1,916,"BLK","202699","201980"
"2016-02-01-ORL-SAS",1,947,"DRB","2564",NA
"2016-02-01-ORL-SAS",1,1136,"2PM","200746","202696"
"2016-02-01-ORL-SAS",1,1619,"2PX","203506","201980"
"2016-02-01-ORL-SAS",1,1640,"ORB","202696",NA
"2016-02-01-ORL-SAS",1,1660,"2PX","202696","2564"
"2016-02-01-ORL-SAS",1,1677,"DRB","202695",NA
"2016-02-01-ORL-SAS",1,1979,"SF","200746","202699"
"2016-02-01-ORL-SAS",1,1993,"FOUL","200746","202699"
"2016-02-01-ORL-SAS",1,2575,"2PX","202696","200746"
"2016-02-01-ORL-SAS",1,2606,"ORB","203932",NA
"2016-02-01-ORL-SAS",1,2613,"2PX","203932","2564"
"2016-02-01-ORL-SAS",1,2630,"DRB","2564",NA
"2016-02-01-ORL-SAS",1,2968,"3PM","201980","203506"
"2016-02-01-ORL-SAS",1,3203,"TO","203506","201980"
"2016-02-01-ORL-SAS",1,3291,"2PM","201980","203506"
"2016-02-01-ORL-SAS",1,3748,"TO","202699",NA
"2016-02-01-ORL-SAS",1,4300,"3PX","201980","203506"
"2016-02-01-ORL-SAS",1,4355,"ORB","2564",NA
"2016-02-01-ORL-SAS",1,4611,"3PX","201980","203506"
"2016-02-01-ORL-SAS",1,4684,"DRB","202699",NA
"2016-02-01-ORL-SAS",1,4853,"2PX","203901","200746"
"2016-02-01-ORL-SAS",1,4854,"BLK","203901","200746"
"2016-02-01-ORL-SAS",1,4869,"DRB","201980",NA
"2016-02-01-ORL-SAS",1,5068,"2PX","2225","203901"
"2016-02-01-ORL-SAS",1,5069,"BLK","2225","203901"
"2016-02-01-ORL-SAS",1,5258,"3PX","203506","201980"
"2016-02-01-ORL-SAS",1,5313,"DRB","202695",NA
"2016-02-01-ORL-SAS",1,5547,"SF","200746","202696"
"2016-02-01-ORL-SAS",1,5555,"FOUL","200746","202696"
"2016-02-01-ORL-SAS",1,6096,"2PX","202699","200746"
"2016-02-01-ORL-SAS",1,6109,"ORB","202696",NA
"2016-02-01-ORL-SAS",1,6117,"2PM","202696","201980"
"2016-02-01-ORL-SAS",1,6394,"2PX","202695","202699"
"2016-02-01-ORL-SAS",1,6446,"DRB","203932",NA
"2016-02-01-ORL-SAS",1,6629,"TO","203506","2564"
"2016-02-01-ORL-SAS",1,6995,"2PM","200746","202696"
"2016-02-01-ORL-SAS",1,7474,"2PX","203932","202695"
"2016-02-01-ORL-SAS",1,7518,"DRB","2564",NA
"2016-02-01-ORL-SAS",1,7624,"TO","2225",NA
"2016-02-01-ORL-SAS",1,7997,"2PX","203901","200746"
"2016-02-01-ORL-SAS",1,7998,"BLK","203901","200746"
"2016-02-01-ORL-SAS",1,8020,"ORB","203932",NA
"2016-02-01-ORL-SAS",1,8043,"2PM","203932","200746"
"2016-02-01-ORL-SAS",1,8379,"3PM","202695","202699"
"2016-02-01-ORL-SAS",1,8748,"3PX","202699","202695"
"2016-02-01-ORL-SAS",1,8808,"DRB","200746",NA
"2016-02-01-ORL-SAS",1,9036,"2PX","200746","202696"
"2016-02-01-ORL-SAS",1,9065,"DRB","202696",NA
"2016-02-01-ORL-SAS",1,9401,"3PM","203506","201980"
"2016-02-01-ORL-SAS",1,9885,"2PM","200746","202696"
"2016-02-01-ORL-SAS",1,10262,"2PM","202696","200746"
"2016-02-01-ORL-SAS",1,10634,"2PX","2225","203932"
"2016-02-01-ORL-SAS",1,10635,"BLK","2225","203932"
"2016-02-01-ORL-SAS",1,10672,"ORB",NA,NA
"2016-02-01-ORL-SAS",1,11030,"3PM","201988","203901"
"2016-02-01-ORL-SAS",1,11547,"2PX","202696","200746"
"2016-02-01-ORL-SAS",1,11584,"ORB","203932",NA
"2016-02-01-ORL-SAS",1,11592,"2PM","203932","2564"
"2016-02-01-ORL-SAS",1,11854,"2PM","201988","203901"
"2016-02-01-ORL-SAS",1,12297,"2PX","203506","2564"
"2016-02-01-ORL-SAS",1,12352,"DRB","202695",NA
"2016-02-01-ORL-SAS",1,12507,"TO","202695","203506"
"2016-02-01-ORL-SAS",1,12621,"2PM","203506","200746"
"2016-02-01-ORL-SAS",1,13287,"2PX","201988","203932"
"2016-02-01-ORL-SAS",1,13333,"TO",NA,NA
"2016-02-01-ORL-SAS",1,13799,"3PX","203506","200746"
"2016-02-01-ORL-SAS",1,13800,"ORB","202696",NA
"2016-02-01-ORL-SAS",1,13850,"2PM","202696","1938"
"2016-02-01-ORL-SAS",1,14377,"2PM","200746","202696"
"2016-02-01-ORL-SAS",1,14827,"TO","202699",NA
"2016-02-01-ORL-SAS",1,15325,"2PM","200746","202696"
"2016-02-01-ORL-SAS",1,15719,"2PM","202696","200746"
"2016-02-01-ORL-SAS",1,16065,"3PM","201988","202699"
"2016-02-01-ORL-SAS",1,16554,"2PX","202696","201988"
"2016-02-01-ORL-SAS",1,16601,"DRB","200746",NA
"2016-02-01-ORL-SAS",1,16855,"2PX","203613","202696"
"2016-02-01-ORL-SAS",1,16856,"BLK","203613","202696"
"2016-02-01-ORL-SAS",1,16898,"DRB",NA,NA
"2016-02-01-ORL-SAS",1,17520,"2PX","202696","200746"
"2016-02-01-ORL-SAS",1,17560,"ORB","203932",NA
"2016-02-01-ORL-SAS",1,17577,"2PM","203932","1938"
"2016-02-01-ORL-SAS",1,17766,"SF","1938","203095"
"2016-02-01-ORL-SAS",1,17804,"FOUL","1938","203095"
"2016-02-01-ORL-SAS",1,18532,"3PM","203095","1938"
"2016-02-01-ORL-SAS",1,19080,"2PX","203937","101112"
"2016-02-01-ORL-SAS",1,19136,"ORB","1938",NA
"2016-02-01-ORL-SAS",1,19600,"2PX","1938","202696"
"2016-02-01-ORL-SAS",1,19616,"DRB","202696",NA
"2016-02-01-ORL-SAS",1,19718,"FOUL","203095","201988"
"2016-02-01-ORL-SAS",1,19994,"2PM","101112","203937"
"2016-02-01-ORL-SAS",2,0,"SPD",NA,NA
"2016-02-01-ORL-SAS",2,489,"SF","201160","2561"
"2016-02-01-ORL-SAS",2,501,"FOUL","201160","2561"
"2016-02-01-ORL-SAS",2,979,"2PM","201988","101112"
"2016-02-01-ORL-SAS",2,1227,"2PX","1626209","2561"
