"game_code","period","frame","event","player_id","dplayer_id"
"2016-02-01-TOR-DEN",1,0,"SPD",NA,NA
"2016-02-01-TOR-DEN",1,540,"2PM","203999","202685"
"2016-02-01-TOR-DEN",1,990,"TO","201949","201568"
"2016-02-01-TOR-DEN",1,1075,"TO","202702","200768"
"2016-02-01-TOR-DEN",1,1542,"2PM","202685","203999"
"2016-02-01-TOR-DEN",1,1862,"TO","202702","2449"
"2016-02-01-TOR-DEN",1,2007,"2PM","2449","202702"
"2016-02-01-TOR-DEN",1,2378,"3PM","203999","202685"
"2016-02-01-TOR-DEN",1,2975,"TO","202685",NA
"2016-02-01-TOR-DEN",1,3357,"FOUL","203999","202685"
"2016-02-01-TOR-DEN",1,3742,"FOUL","201568","201949"
"2016-02-01-TOR-DEN",1,3997,"2PX","1626144","202685"
"2016-02-01-TOR-DEN",1,4037,"DRB","202685",NA
"2016-02-01-TOR-DEN",1,4293,"3PM","201949","201568"
"2016-02-01-TOR-DEN",1,4740,"2PM","203999","202685"
"2016-02-01-TOR-DEN",1,5284,"2PX","2449","202702"
"2016-02-01-TOR-DEN",1,5308,"ORB","202685",NA
"2016-02-01-TOR-DEN",1,5325,"2PM","202685","203999"
"2016-02-01-TOR-DEN",1,5599,"3PX","203999","202685"
"2016-02-01-TOR-DEN",1,5650,"DRB","201949",NA
"2016-02-01-TOR-DEN",1,5818,"2PM","202685","203999"
"2016-02-01-TOR-DEN",1,6390,"2PM","203999","200768"
"2016-02-01-TOR-DEN",1,6820,"2PX","201942","203914"
"2016-02-01-TOR-DEN",1,6839,"DRB","203999",NA
"2016-02-01-TOR-DEN",1,7121,"2PM","203999","200768"
"2016-02-01-TOR-DEN",1,7610,"2PX","202685","203999"
"2016-02-01-TOR-DEN",1,7611,"BLK","202685","203999"
"2016-02-01-TOR-DEN",1,7763,"2PM","202702","2449"
"2016-02-01-TOR-DEN",1,8374,"3PM","2449","202702"
"2016-02-01-TOR-DEN",1,8896,"2PM","201568","202685"
"2016-02-01-TOR-DEN",1,9354,"3PM","200768","1626144"
"2016-02-01-TOR-DEN",1,9952,"2PX","203914","2449"
"2016-02-01-TOR-DEN",1,9953,"BLK","203914","2449"
"2016-02-01-TOR-DEN",1,9991,"FOUL","2449","203914"
"2016-02-01-TOR-DEN",1,10354,"TO","201949",NA
"2016-02-01-TOR-DEN",1,10789,"3PM","203914","201942"
"2016-02-01-TOR-DEN",1,11224,"2PX","202685","203999"
"2016-02-01-TOR-DEN",1,11256,"DRB","203999",NA
"2016-02-01-TOR-DEN",1,11578,"2PM","202702","201949"
"2016-02-01-TOR-DEN",1,11869,"2PX","202685","203999"
"2016-02-01-TOR-DEN",1,11887,"ORB","202685",NA
"2016-02-01-TOR-DEN",1,11907,"2PX","202685","203999"
"2016-02-01-TOR-DEN",1,11935,"DRB","203999",NA
"2016-02-01-TOR-DEN",1,12290,"2PX","203999","201949"
"2016-02-01-TOR-DEN",1,12291,"BLK","203999","201949"
"2016-02-01-TOR-DEN",1,12319,"DRB","200768",NA
"2016-02-01-TOR-DEN",1,12426,"3PX","200768","1626144"
"2016-02-01-TOR-DEN",1,12476,"DRB","202702",NA
"2016-02-01-TOR-DEN",1,12619,"3PX","203914","201942"
