"game_code","period","frame","event","player_id","dplayer_id"
"2016-02-02-MIA-HOU",1,0,"SPD",NA,NA
"2016-02-02-MIA-HOU",1,534,"2PX","2405","201976"
"2016-02-02-MIA-HOU",1,576,"DRB","201147",NA
"2016-02-02-MIA-HOU",1,988,"3PM","201976","201609"
"2016-02-02-MIA-HOU",1,1653,"TO","2548",NA
"2016-02-02-MIA-HOU",1,2089,"2PM","2746","2736"
"2016-02-02-MIA-HOU",1,2397,"2PX","2405","201147"
"2016-02-02-MIA-HOU",1,2398,"BLK","2405","201147"
"2016-02-02-MIA-HOU",1,2402,"ORB","2405",NA
"2016-02-02-MIA-HOU",1,2450,"2PX","2405","2772"
"2016-02-02-MIA-HOU",1,2451,"BLK","2405","2772"
"2016-02-02-MIA-HOU",1,2489,"DRB","201976",NA
"2016-02-02-MIA-HOU",1,2608,"2PM","2772","201609"
"2016-02-02-MIA-HOU",1,3090,"TO","2736",NA
"2016-02-02-MIA-HOU",1,3748,"TO","201935",NA
"2016-02-02-MIA-HOU",1,4107,"2PM","201609","2746"
"2016-02-02-MIA-HOU",1,4260,"2PX","2772","2548"
"2016-02-02-MIA-HOU",1,4287,"DRB","2547",NA
"2016-02-02-MIA-HOU",1,4440,"2PX","2548","201147"
"2016-02-02-MIA-HOU",1,4504,"FOUL","201935","2405"
"2016-02-02-MIA-HOU",1,4761,"2PX","201935","2405"
"2016-02-02-MIA-HOU",1,4784,"DRB","2736",NA
"2016-02-02-MIA-HOU",1,4996,"2PM","201609","201976"
"2016-02-02-MIA-HOU",1,5316,"2PX","201147","2548"
"2016-02-02-MIA-HOU",1,5366,"DRB","2547",NA
"2016-02-02-MIA-HOU",1,5793,"2PM","2736","201935"
"2016-02-02-MIA-HOU",1,6094,"3PX","2746","2405"
"2016-02-02-MIA-HOU",1,6145,"DRB","2547",NA
"2016-02-02-MIA-HOU",1,6320,"2PX","201609","201976"
"2016-02-02-MIA-HOU",1,6321,"BLK","201609","201976"
"2016-02-02-MIA-HOU",1,6345,"ORB",NA,NA
"2016-02-02-MIA-HOU",1,6553,"2PM","2736","2772"
"2016-02-02-MIA-HOU",1,6920,"3PX","201147","2736"
"2016-02-02-MIA-HOU",1,6978,"DRB","2736",NA
"2016-02-02-MIA-HOU",1,7431,"2PM","2548","201147"
"2016-02-02-MIA-HOU",1,7978,"3PX","201935","2736"
"2016-02-02-MIA-HOU",1,8029,"DRB","201609",NA
"2016-02-02-MIA-HOU",1,8140,"2PM","201609","201976"
"2016-02-02-MIA-HOU",1,8150,"FOUL","201609","201976"
"2016-02-02-MIA-HOU",1,8802,"2PX","201976","201609"
"2016-02-02-MIA-HOU",1,8834,"DRB","2405",NA
"2016-02-02-MIA-HOU",1,9052,"2PM","2405","2746"
"2016-02-02-MIA-HOU",1,9721,"2PM","2746","1626159"
"2016-02-02-MIA-HOU",1,10104,"TO","2548","2746"
"2016-02-02-MIA-HOU",1,10285,"2PM","201935","2736"
"2016-02-02-MIA-HOU",1,10768,"2PX","2548","2746"
"2016-02-02-MIA-HOU",1,10843,"ORB",NA,NA
"2016-02-02-MIA-HOU",1,11320,"2PM","2405","203093"
"2016-02-02-MIA-HOU",1,11747,"2PX","203093","2405"
"2016-02-02-MIA-HOU",1,11773,"DRB","2405",NA
"2016-02-02-MIA-HOU",1,12005,"2PM","2736","201976"
"2016-02-02-MIA-HOU",1,12379,"2PM","201935","2405"
"2016-02-02-MIA-HOU",1,13178,"2PM","2548","203093"
"2016-02-02-MIA-HOU",1,13344,"3PM","201977","2548"
"2016-02-02-MIA-HOU",1,13990,"SF","2405","201935"
"2016-02-02-MIA-HOU",1,14003,"FOUL","2405","201935"
"2016-02-02-MIA-HOU",1,14566,"2PM","201935","2405"
"2016-02-02-MIA-HOU",1,15133,"TO","2405",NA
"2016-02-02-MIA-HOU",1,15573,"2PM","203093","201177"
"2016-02-02-MIA-HOU",1,15725,"2PM","101123","201147"
"2016-02-02-MIA-HOU",1,15911,"SF","201935","201177"
"2016-02-02-MIA-HOU",1,15927,"FOUL","201935","201177"
"2016-02-02-MIA-HOU",1,16103,"SUB",NA,NA
"2016-02-02-MIA-HOU",1,16472,"2PX","201177","201935"
"2016-02-02-MIA-HOU",1,16514,NA,"2547",NA
"2016-02-02-MIA-HOU",1,16542,"FOUL","2547","201935"
"2016-02-02-MIA-HOU",1,16906,"2PM","1626159","201951"
"2016-02-02-MIA-HOU",1,17331,"2PM","201147","101123"
"2016-02-02-MIA-HOU",1,17681,"TO","1626159",NA
"2016-02-02-MIA-HOU",1,18084,"2PM","201147","2547"
"2016-02-02-MIA-HOU",1,18597,"2PM","1626159","203093"
"2016-02-02-MIA-HOU",1,18958,"2PM","201951","101123"
"2016-02-02-MIA-HOU",1,19322,"2PM","1626159","201147"
"2016-02-02-MIA-HOU",1,19618,"TO","201951",NA
"2016-02-02-MIA-HOU",1,19987,"TO","1626159","201147"
"2016-02-02-MIA-HOU",1,20091,"2PX","201147","1626159"
"2016-02-02-MIA-HOU",1,20154,"ORB","1891",NA
